table_field,nonnull_count,schema,table,field
AllWQ_CrossTab_NDs_Working_bak.Th,1166,dbo,AllWQ_CrossTab_NDs_Working_bak,Th
AllWQ_CrossTab_NDs_Working_bak.HRD,3133,dbo,AllWQ_CrossTab_NDs_Working_bak,HRD
AllWQ_CrossTab_NDs_Working_bak.Mo_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,Mo_Total
AllWQ_CrossTab_NDs_Working_bak.AsV,2,dbo,AllWQ_CrossTab_NDs_Working_bak,AsV
AllWQ_CrossTab_NDs_Working_bak.Sb,1202,dbo,AllWQ_CrossTab_NDs_Working_bak,Sb
AllWQ_CrossTab_NDs_Working_bak.Al,1915,dbo,AllWQ_CrossTab_NDs_Working_bak,Al
AllWQ_CrossTab_NDs_Working_bak.CFC12,123,dbo,AllWQ_CrossTab_NDs_Working_bak,CFC12
AllWQ_CrossTab_NDs_Working_bak.Arsenic,2139,dbo,AllWQ_CrossTab_NDs_Working_bak,Arsenic
AllWQ_CrossTab_NDs_Working_bak.SiO2,2675,dbo,AllWQ_CrossTab_NDs_Working_bak,SiO2
AllWQ_CrossTab_NDs_Working_bak.Ag_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,Ag_Total
AllWQ_CrossTab_NDs_Working_bak.Hg,570,dbo,AllWQ_CrossTab_NDs_Working_bak,Hg
AllWQ_CrossTab_NDs_Working_bak.Se_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,Se_Total
AllWQ_CrossTab_NDs_Working_bak.ORP,702,dbo,AllWQ_CrossTab_NDs_Working_bak,ORP
AllWQ_CrossTab_NDs_Working_bak.ALK,1000,dbo,AllWQ_CrossTab_NDs_Working_bak,ALK
AllWQ_CrossTab_NDs_Working_bak.Zn_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,Zn_Total
AllWQ_CrossTab_NDs_Working_bak.TritiumHeliumAge,73,dbo,AllWQ_CrossTab_NDs_Working_bak,TritiumHeliumAge
AllWQ_CrossTab_NDs_Working_bak.Ni,1511,dbo,AllWQ_CrossTab_NDs_Working_bak,Ni
AllWQ_CrossTab_NDs_Working_bak.GA,58,dbo,AllWQ_CrossTab_NDs_Working_bak,GA
AllWQ_CrossTab_NDs_Working_bak.C14_years,454,dbo,AllWQ_CrossTab_NDs_Working_bak,C14_years
AllWQ_CrossTab_NDs_Working_bak.pHL,2493,dbo,AllWQ_CrossTab_NDs_Working_bak,pHL
AllWQ_CrossTab_NDs_Working_bak.Sn,892,dbo,AllWQ_CrossTab_NDs_Working_bak,Sn
AllWQ_CrossTab_NDs_Working_bak.U238,1,dbo,AllWQ_CrossTab_NDs_Working_bak,U238
AllWQ_CrossTab_NDs_Working_bak.Zn,2025,dbo,AllWQ_CrossTab_NDs_Working_bak,Zn
AllWQ_CrossTab_NDs_Working_bak.Sr87Sr86Ratio,15,dbo,AllWQ_CrossTab_NDs_Working_bak,Sr87Sr86Ratio
AllWQ_CrossTab_NDs_Working_bak.Mg,3860,dbo,AllWQ_CrossTab_NDs_Working_bak,Mg
AllWQ_CrossTab_NDs_Working_bak.NO3_N,455,dbo,AllWQ_CrossTab_NDs_Working_bak,NO3_N
AllWQ_CrossTab_NDs_Working_bak.TN,5,dbo,AllWQ_CrossTab_NDs_Working_bak,TN
AllWQ_CrossTab_NDs_Working_bak.NO2,1091,dbo,AllWQ_CrossTab_NDs_Working_bak,NO2
AllWQ_CrossTab_NDs_Working_bak.Rn,1,dbo,AllWQ_CrossTab_NDs_Working_bak,Rn
AllWQ_CrossTab_NDs_Working_bak.d18O_SO4,17,dbo,AllWQ_CrossTab_NDs_Working_bak,d18O_SO4
AllWQ_CrossTab_NDs_Working_bak.Tritium,557,dbo,AllWQ_CrossTab_NDs_Working_bak,Tritium
AllWQ_CrossTab_NDs_Working_bak.Na,2579,dbo,AllWQ_CrossTab_NDs_Working_bak,Na
AllWQ_CrossTab_NDs_Working_bak.As_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,As_Total
AllWQ_CrossTab_NDs_Working_bak.B,1549,dbo,AllWQ_CrossTab_NDs_Working_bak,B
AllWQ_CrossTab_NDs_Working_bak.CONDLAB,3472,dbo,AllWQ_CrossTab_NDs_Working_bak,CONDLAB
AllWQ_CrossTab_NDs_Working_bak.NO2_N,43,dbo,AllWQ_CrossTab_NDs_Working_bak,NO2_N
AllWQ_CrossTab_NDs_Working_bak.Sr,1674,dbo,AllWQ_CrossTab_NDs_Working_bak,Sr
AllWQ_CrossTab_NDs_Working_bak.CFC113,128,dbo,AllWQ_CrossTab_NDs_Working_bak,CFC113
AllWQ_CrossTab_NDs_Working_bak.V_Total,447,dbo,AllWQ_CrossTab_NDs_Working_bak,V_Total
AllWQ_CrossTab_NDs_Working_bak.TAn,1059,dbo,AllWQ_CrossTab_NDs_Working_bak,TAn
AllWQ_CrossTab_NDs_Working_bak.V,1706,dbo,AllWQ_CrossTab_NDs_Working_bak,V
AllWQ_CrossTab_NDs_Working_bak.U233,1,dbo,AllWQ_CrossTab_NDs_Working_bak,U233
AllWQ_CrossTab_NDs_Working_bak.pHf,1871,dbo,AllWQ_CrossTab_NDs_Working_bak,pHf
AllWQ_CrossTab_NDs_Working_bak.SO4,0,dbo,AllWQ_CrossTab_NDs_Working_bak,SO4
AR_Distances.ID,122,dbo,AR_Distances,ID
AR_Distances.RiverDistance,82,dbo,AR_Distances,RiverDistance
AR_Distances.COBorderDistance,82,dbo,AR_Distances,COBorderDistance
AR_Distances.LocationID,122,dbo,AR_Distances,LocationID
AR_Distances.SSMA_TimeStamp,122,dbo,AR_Distances,SSMA_TimeStamp
AR_Distances.DitchDistance,122,dbo,AR_Distances,DitchDistance
AR_Distances.PointID,122,dbo,AR_Distances,PointID
AssocDataPhotos.AssocID,0,dbo,AssocDataPhotos,AssocID
AssocDataPhotos.PointID,0,dbo,AssocDataPhotos,PointID
AssocDataPhotos.OLEPath,0,dbo,AssocDataPhotos,OLEPath
AssocDataPhotos.OBJECTID,0,dbo,AssocDataPhotos,OBJECTID
