model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|9887|9331|5.6235460705977545
PointID|Table|Field|Error
SM-0173|WellData|FormationZone|Unknown formation: 300YESO_upper
SM-0174|WellData|FormationZone|Unknown formation: 260SNAN_lower
SM-0183|WellData|FormationZone|Unknown formation: 260SNAN/300YESO
SM-0217|WellData|FormationZone|Unknown formation: 260SNAN_lower
SM-0219|WellData|FormationZone|Unknown formation: 260SNAN_lower
SM-0223|WellData|FormationZone|Unknown formation: 260SNAN/300YESO
SM-0230|WellData|FormationZone|Unknown formation: 300YESO_upper
SM-0231|WellData|FormationZone|Unknown formation: 300YESO_upper
SM-0243|WellData|FormationZone|Unknown formation: 300YESO_upper
SM-0260|WellData|FormationZone|Unknown formation: 110ALVM/300YESO
SM-0261|WellData|FormationZone|Unknown formation: 110ALVM/300YESO
SO-0095|WellData|FormationZone|Unknown formation: 110ALVM/310MBLC
SO-0096|WellData|FormationZone|Unknown formation: 310MBLC/310ABO
SV-0032|WellData|FormationZone|Unknown formation: 320SNDI/400SAND
SV-0034|WellData|FormationZone|Unknown formation: 325MDER/400SAND
SV-0036|WellData|FormationZone|Unknown formation: 325MDER/310ABO
SV-0037|WellData|FormationZone|Unknown formation: 325MDER/310ABO
SV-0120|WellData|FormationZone|Unknown formation: 325MDER/310ABO
TB-0012|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0021|WellData|FormationZone|Unknown formation: 120TSBV_Lower
TB-0022|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0023|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0038|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0041|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0042|WellData|FormationZone|Unknown formation: 120TSBV_Lower
TB-0043|WellData|FormationZone|Unknown formation: 120TSBV_Lower
TB-0050|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0051|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0052|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0053|WellData|FormationZone|Unknown formation: 120TSBV_Lower
TB-0069|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0070|WellData|FormationZone|Unknown formation: 120TSBV_Lower
TB-0093|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0094|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0095|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0096|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0097|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0098|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0100|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0101|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0104|WellData|FormationZone|Unknown formation: 120TSBV_Upper
TB-0105|WellData|FormationZone|Unknown formation: 120TSBV_Upper
TB-0106|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0107|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0111|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0112|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0113|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0114|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0115|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0116|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0118|WellData|FormationZone|Unknown formation: 210GLUPC_Lower
TB-0119|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0120|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0121|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0122|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0123|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
TB-0124|WellData|FormationZone|Unknown formation: 180TKSCC_Upper
